#PETAL_LOC DEVICE_LOC FVC_ID FLAGS DEVICE_ID DEVICE_TYPE X Y
0 75 4075 8 P011 FIF -7.888642 -158.134159
0 150 4150 8 P019 FIF -60.996350 -233.814418
0 533 4533 65544 P030 FIF 44.088598 -406.559596
0 439 4439 8 P043 FIF -113.103221 -393.823149
0 532 4532 65544 P074 FIF 33.883129 -408.766963
0 482 4482 8 P079 FIF -68.238341 -402.614140
0 496 4496 8 P080 FIF 74.177945 -371.910627
0 321 4321 8 P087 FIF -11.935485 -315.650622
0 534 4534 8 P103 FIF 54.331707 -404.577521
0 11 4011 8 P117 FIF 13.860879 -61.655078
0 239 4239 8 P126 FIF 75.924024 -251.504228
0 517 4517 8 P134 FIF -14.090333 -409.726508
0 542 4542 136 P081 GIF 82.505182 -402.289387
0 541 4541 136 P114 GIF 105.922689 -344.625585
0 486 4486 4 M02691 POS -27.644669 -393.715752
0 518 4518 4 M02780 POS -3.586348 -407.349887
0 485 4485 4 M02791 POS -37.854450 -395.924825
0 470 4470 4 M02895 POS -3.984234 -379.306414
0 19 4019 4 M02910 POS 7.649798 -81.317378
0 446 4446 4 M02929 POS -41.524683 -378.021324
0 87 4087 4 M03090 POS 19.709532 -161.737744
0 163 4163 4 M03154 POS -74.433391 -246.224346
0 508 4508 4 M03164 POS 30.338649 -390.640317
0 369 4369 4 M03165 POS 63.307058 -318.544533
0 408 4408 4 M03168 POS 26.188163 -344.852749
0 473 4473 4 M03170 POS 26.571580 -372.724486
0 242 4242 4 M03172 POS -70.206695 -291.422931
0 488 4488 4 M03178 POS -7.248934 -389.372578
0 368 4368 4 M03353 POS 53.094464 -320.657418
0 349 4349 4 M03355 POS 66.544225 -308.567626
0 442 4442 4 M03365 POS -82.344382 -386.916470
0 507 4507 4 M03522 POS 20.104616 -392.842242
0 396 4396 4 M03529 POS -96.154058 -371.201992
0 484 4484 4 M03547 POS -48.037259 -398.150213
0 490 4490 4 M03559 POS 13.159178 -384.962778
0 420 4420 4 M03622 POS -79.026457 -376.820008
0 466 4466 4 M03627 POS -44.765429 -388.067800
0 398 4398 4 M03635 POS -75.742565 -366.778449
0 424 4424 4 M03641 POS -38.254202 -367.970883
0 400 4400 4 M03666 POS -55.392952 -362.343771
0 469 4469 4 M03782 POS -14.188059 -381.466578
0 447 4447 4 M03818 POS -31.303498 -375.834200
0 505 4505 4 M03839 POS -0.294032 -397.177658
0 445 4445 4 M03848 POS -51.749665 -380.243149
0 519 4519 4 M04014 POS 6.640259 -405.135845
0 504 4504 4 M04015 POS -10.499654 -399.374710
0 313 4313 4 M04039 POS -93.356903 -333.446802
0 312 4312 4 M04048 POS -103.521781 -335.654142
0 375 4375 4 M04062 POS -92.911577 -361.169347
0 423 4423 4 M04130 POS -48.438068 -370.148617
0 467 4467 4 M04134 POS -34.543464 -385.845614
0 503 4503 4 M04135 POS -20.655228 -401.585405
0 489 4489 4 M04227 POS 2.946006 -387.160987
0 48 4048 4 M04343 POS -18.617588 -132.973383
0 468 4468 4 M04385 POS -24.355818 -383.651754
0 441 4441 4 M04390 POS -92.532295 -389.135472
0 352 4352 4 M04399 POS -110.025790 -355.622221
0 354 4354 4 M04439 POS -89.627507 -351.183214
0 397 4397 4 M04441 POS -85.955361 -369.024619
0 520 4520 4 M04469 POS 16.818052 -402.929159
0 78 4078 4 M04515 POS 22.907297 -151.832914
0 314 4314 4 M04527 POS -83.171611 -331.209671
0 440 4440 4 M04532 POS -102.762302 -391.365263
0 444 4444 4 M04533 POS -61.912815 -382.480913
0 401 4401 4 M04543 POS -45.178780 -360.147331
0 69 4069 4 M04560 POS 26.074860 -141.907359
0 448 4448 4 M04575 POS -21.145579 -373.637493
0 502 4502 4 M04635 POS -30.900303 -403.825319
0 334 4334 4 M04653 POS -86.415077 -341.180340
0 483 4483 4 M04660 POS -58.216382 -400.433900
0 425 4425 4 M04662 POS -28.056926 -365.791410
0 487 4487 4 M04663 POS -17.405986 -391.542316
0 378 4378 4 M04666 POS -62.303706 -354.532895
0 373 4373 4 M04674 POS -113.292470 -365.652233
0 421 4421 4 M04682 POS -68.834601 -374.571550
0 356 4356 4 M04684 POS -69.247771 -346.773392
0 61 4061 4 M04746 POS 29.345434 -132.017927
0 333 4333 4 M04750 POS -96.632147 -343.411979
0 394 4394 4 M04760 POS -116.561047 -375.709624
0 335 4335 4 M04787 POS -76.222304 -338.972901
0 353 4353 4 M04870 POS -99.845526 -353.413823
0 179 4179 4 M04896 POS -57.301343 -251.769400
0 521 4521 4 M04928 POS 27.028588 -400.742929
0 53 4053 4 M04929 POS 32.531193 -122.112117
0 376 4376 4 M04932 POS -82.714236 -358.956815
0 422 4422 4 M04934 POS -58.622892 -372.378561
0 462 4462 4 M04969 POS -85.590361 -397.020382
0 465 4465 4 M05016 POS -54.955276 -390.293536
0 449 4449 4 M05188 POS -10.908754 -371.449874
0 379 4379 4 M05189 POS -52.122926 -352.311618
0 377 4377 4 M05195 POS -72.506983 -356.765674
0 443 4443 4 M05197 POS -72.120963 -384.677134
0 506 4506 4 M05218 POS 9.900881 -395.018351
0 399 4399 4 M05224 POS -65.573319 -364.586446
0 463 4463 4 M05225 POS -75.350850 -394.729857
0 418 4418 4 M05237 POS -99.437024 -381.283814
0 522 4522 4 M05252 POS 37.215259 -398.553200
0 416 4416 4 M05344 POS -119.884126 -385.819535
0 374 4374 4 M05347 POS -103.090205 -363.431609
0 417 4417 4 M05400 POS -109.647334 -383.502486
0 395 4395 4 M05526 POS -106.403836 -373.444841
0 355 4355 4 M05527 POS -79.458869 -348.961332
0 332 4332 4 M05528 POS -106.785593 -345.620264
0 419 4419 4 M05536 POS -89.224168 -379.055700
0 464 4464 4 M05537 POS -65.199104 -392.536148
0 152 4152 4 M05616 POS -40.676787 -229.813701
0 427 4427 4 M05691 POS -7.635184 -361.407608
0 426 4426 4 M05692 POS -17.875404 -363.605079
0 383 4383 4 M05694 POS -11.364217 -343.590744
0 248 4248 4 M05696 POS -9.009485 -278.361290
0 362 4362 4 M05701 POS -8.110806 -333.635144
0 405 4405 4 M05702 POS -4.400277 -351.409293
0 307 4307 4 M05703 POS 42.453864 -295.178486
0 404 4404 4 M05704 POS -14.602309 -353.580974
0 428 4428 4 M05724 POS 2.552649 -359.208983
0 326 4326 4 M05725 POS 39.190245 -305.102173
0 341 4341 4 M05726 POS -15.078794 -325.847024
0 231 4231 4 M05737 POS -5.770263 -268.443086
0 323 4323 4 M05738 POS 8.576688 -311.551778
0 286 4286 4 M05746 POS 15.090831 -291.697157
0 250 4250 4 M05766 POS 11.407188 -274.060681
0 125 4125 4 M05767 POS -54.609072 -214.347015
0 140 4140 4 M05769 POS -27.187520 -217.764306
0 139 4139 4 M05780 POS -37.435347 -219.926552
0 181 4181 4 M05781 POS -36.893125 -247.435426
0 138 4138 4 M05782 POS -47.650136 -222.085819
0 153 4153 4 M05790 POS -30.434858 -227.655274
0 165 4165 4 M05791 POS -54.105413 -241.869765
0 68 4068 4 M05797 POS 15.882339 -144.100151
0 135 4135 4 M05798 POS 47.507934 -192.724778
0 123 4123 4 M05799 POS 50.770331 -182.821154
0 491 4491 4 M05811 POS 23.369370 -382.780336
0 409 4409 4 M05813 POS 36.418147 -342.682981
0 431 4431 4 M05814 POS 33.168015 -352.664726
0 453 4453 4 M05815 POS 29.887320 -362.690447
0 387 4387 4 M05816 POS 29.440488 -334.895314
0 1 4001 4 M05817 POS -6.856945 -38.298889
0 9 4009 4 M05818 POS -6.304214 -65.843917
0 17 4017 4 M05819 POS -12.738433 -85.618507
0 159 4159 4 M05820 POS 30.877993 -214.671184
0 174 4174 4 M05821 POS 37.825895 -222.413579
0 13 4013 4 M05823 POS -9.539954 -75.725974
0 0 4000 4 M05826 POS -3.603916 -28.389799
0 3 4003 4 M05828 POS -10.052878 -48.207970
0 164 4164 4 M05829 POS -64.274260 -244.047713
0 160 4160 4 M05830 POS 41.068480 -212.516882
0 224 4224 4 M05831 POS -77.180018 -283.648287
0 208 4208 4 M05832 POS -73.945141 -273.745501
0 147 4147 4 M05833 POS 44.309509 -202.647245
0 430 4430 4 M05837 POS 22.936592 -354.813426
0 225 4225 4 M05842 POS -66.980801 -281.467925
0 6 4006 4 M05843 POS -3.111082 -55.914655
0 27 4027 4 M05844 POS -19.193810 -105.449382
0 146 4146 4 M05845 POS 34.121940 -204.770621
0 193 4193 4 M05846 POS -70.721570 -263.854130
0 406 4406 4 M05848 POS 5.779289 -349.229678
0 210 4210 4 M05850 POS -53.583499 -269.395158
0 2 4002 4 M05851 POS 3.336946 -36.166650
0 195 4195 4 M05852 POS -50.335993 -259.511057
0 451 4451 4 M05853 POS 9.474473 -367.085564
0 429 4429 4 M05860 POS 12.742165 -357.021040
0 492 4492 4 M05861 POS 33.543581 -380.583322
0 226 4226 4 M05862 POS -56.777782 -279.309946
0 458 4458 4 M05863 POS 80.867800 -351.969496
0 243 4243 4 M05864 POS -60.012156 -289.261825
0 471 4471 4 M05865 POS 6.185802 -377.125710
0 407 4407 4 M05866 POS 15.966303 -347.014349
0 42 4042 4 M05867 POS -5.177463 -120.891867
0 60 4060 4 M05868 POS 19.106396 -134.180072
0 35 4035 4 M05869 POS -2.031947 -111.027374
0 29 4029 4 M05870 POS 1.215385 -101.155152
0 37 4037 4 M05871 POS 18.436945 -106.651841
0 77 4077 4 M05872 POS 12.700732 -153.993433
0 66 4066 4 M05873 POS -4.608102 -148.417295
0 58 4058 4 M05874 POS -1.383396 -138.525233
0 320 4320 4 M05875 POS -22.006451 -318.107874
0 403 4403 4 M05876 POS -24.801290 -355.761025
0 24 4024 4 M05878 POS 4.465355 -91.257824
0 281 4281 4 M05879 POS -35.871992 -302.571870
0 228 4228 4 M05880 POS -36.378043 -274.945089
0 263 4263 4 M05881 POS -32.668438 -292.624045
